Topic,Subtopic,Uworld IDs,COMLEX IDs,Course
Foundations of Physiology for the USMLE (Cardiology),Jugular Venous Tracing,"98, 96, 2070","23210, 23212, 25179",Step 1 Pass Fail
Foundations of Physiology for the USMLE (Cardiology),Pulsus Paradoxes,"1439, 2099, 2100","24550, 25208, 25209",Step 1 Pass Fail
Foundations of Physiology for the USMLE (Cardiology),Pressure Volume Loops,"1517, 1518, 1510","24628, 24629, 24621",Step 1 Pass Fail
Foundations of Physiology for the USMLE (Cardiology),Cardiac Action Potentials,"84, 901, 1380","23198, 24013, 24491",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Acute Inflammation for USMLE,1002,24114,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Cardiac Microbiology,"1002, 733, 1003","24114, 23845, 24115",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Pathophysiology of Sub-Acute Bacterial Endocarditis,"1002, 733, 1003","24114, 23845, 24115",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Bacteria Biofilms,"8533, 14916","26009, 25415",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Viridans Streptococci,"733, 1002, 1003","23845, 24114, 24115",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Indications for Antimicrobial PPX for Endocarditis,"733, 1003",24115,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Acute Bacterial Endocarditis,"733, 1002, 1003","24114, 24115",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,IV Drug Use and Endocarditis,"8710, 729, 646, 1007","25453, 23841, 23758, 106228",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Pathophysiology of Acute Rheumatic Fever," 240, 241, 239, 724","23353, 23354, 23352, 23836",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Group A Streptococcus,"1001, 15339, 8857, 646, 722, 724"," 24113, 26247, 25457, 23758, 23834, 23836",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Scarlet vs Rheumatic Fever,"8565, 724","25428, 23836",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Jones Criteria for USMLE,726,23838,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Heart Block Lyme Disease,"15559, 1676, 1976, 15555","26404, 24787, 25085, 26400",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Mitral Stenosis,"1591, 232, 236","24702, 23345, 23349",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Diphtheria,"1389, 1093, 1390, 1092","24500, 24204, 24501, 24203",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Protein Synthesis Inhibition,"1098, 1373, 1093","24209, 24484, 24204",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Cardiology,Myocarditis,"15419, 1093, 1094, 1092, 95, 240, 232, 14789, 93, 96","24204, 24205, 24203, 23209, 23353, 23345, 25931, 23207, 23210",Step 1 Pass Fail
NBME Top Concepts: Cardiology,DiGeorge Syndrome,"34, 204, 8532","23148, 23317, 25414",Step 1 Pass Fail
NBME Top Concepts: Cardiology,Branchial Pouch Derivatives,"543, 756, 743","23656, 23868, 23855",Step 1 Pass Fail
NBME Top Concepts: Cardiology,Lipid Lowering Drugs,"164, 165, 711,  161, 711, 778, 780, 781, 778, 11844, 166, 67, 163,  11634","23277, 23278, 23823, 23274, 23823, 23890, 23892, 23893, 23890, 25730, 23279, 23181, 23276,  25589",Step 1 Pass Fail
NBME Top Concepts: Cardiology,Shock,"1493, 1625, 13979, 18535","24604, 24736, 25876, 26670",Step 1 Pass Fail
NBME Top Concepts: Cardiology,Thermoregulation,"821, 19079, 19088, 19108","23933, 26918, 26929, 26925",Step 1 Pass Fail
NBME Top Concepts: Cardiology,"S3, S4, HOCOM, DCM, murmurs","246, 32, 33, 72, 76, 85, 187, 76, 82, 83, 95, 15310, 1047, 92, 14993, 1014,  246, 93,   242, 939, 243, 2106, 227, 15198, 232, 233, 947, 200, 8294, 203.,32, 1751","23359, 23146, 23147, 23186, 23190, 23199, 23300,  23190, 23196, 23197, 23209, 26231, 24158, 23206, 26061, 24125, 23359, 23207, 23355, 24051, 23356, 25215, 23340, 26147, 23345, 23346, 24059, 23313, 25372, 23316, 23146, 24862",Step 1 Pass Fail
NBME Top Concepts: Cardiology,Vasculitis,"1852, 39, 242, 442, 450, 451, 914, 450, 461, 452, 1852, 20774, 6445, 13,  667, 458, 1850, 758, 10","24961, 23153, 23355, 23555, 23563, 23564, 24026, 23563, 23574, 23565, 24961, 20774, 5244, 23127,23779, 23571, 24959, 23870, 23124",Step 1 Pass Fail
NBME Top Concepts: Cardiology,Post MI Complications,"89, 40, 151868, 15188, 18840, 19012","23203, 23154, 26140, 26812, 26896",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Right Heart Failure vs. Left Heart Failure,"15526 , 7616, 15535, 1881, 1578, 15650, 1585","26376 , 25318, 26382, 24990, 24689, 26464, 24696",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Murmurs & Maneuvers,"85, 187, 947, 242, 1661, 1983, 232, 200, 943, 1557","23199, 23300, 24059, 23355, 24772, 25092, 23345, 23313, 24055, 24668",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Transudative vs. Exudative for the USMLE,"15430, 15420, 531, 1881","26311, 26303, 23644, 24990",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Mechanisms of Edema,"1578, 15420, 15193, 1537","24689, 26303, 26142, 24648",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Turner Syndrome,"30, 8292, 256, 339, 1810, 7489","23144, 23369, 23452, 24919, 25293, 25370",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Rapid Review Genetic Heart Lesions & Cardiac Anomalies,"8, 188, 204, 543, 636, 572","23122, 23301, 23317, 23656,  23748, 23685",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Genetic Conditions & Heart Lesions,"35, 202, 34, 1490","23149, 23315, 23148, 24601",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Pathophysiology of Tet Spells,204,23317,Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Endocarditis,"14898, 679, 729, 1002, 1003","26001, 23791, 23841, 24114, 24115",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Microbiology Integration,"1002, 733, 729, 1001","24113, 24114, 23841, 23845",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Infective Endocarditis on USMLE,"228, 72, 729","23341, 23186, 23841",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Rheumatic Fever,"239, 240, 241, 234","23352, 23353, 23354, 23347",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Cardiology,Erythema Marginatam,"1495, 1896","24606, 25005",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Atrial Fibrillation & Virchow’s Triad,"1, 11842, 1977, 2055, 14743, 14741, 1292","23115, 24403, 25086, 25728, 25920, 25922",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Amiodarone Systemic Toxicity,"899, 901, 1507, 645, 625","23737, 23757, 24011, 24013, 24618",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Cardiac Action Potentials,"91, 1509","23205, 24620",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Class 1 Anti-Arrhythmics,"159, 900, 1508, 1509, 8869","23272, 24012, 24619, 24620, 25460",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Drug Induced Lupus Integratio,1505,24616,Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Class 2 Anti-Arrhythmics (Integrates MVO2),"2006, 8289","25115, 25367",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Calcium Channel Blockers,"145, 153, 154, 144, 1973","23257, 23258, 23266, 23267, 25082",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Acute Heart Failure Pharmacology,1652,24763,Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Chronic Heart Failure Pharmacology,"149, 686, 693, 1944","23262, 23798, 25053",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Digoxin (Toxicity),"147, 148, 155, 156, 1780","23260, 23261, 23268, 23269, 24890",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Anti-Lipid Agents,"164, 165, 711, 161, 711, 778, 780, 781, 778, 11844, 166, 67, 163, 11634","23277, 23278, 23823, 23274, 23823, 23890, 23892, 23893, 23890, 25730, 23279, 23181, 23276, 25589",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),"LDL, HDL, TAG, Niacin","2064, 191, 782, 160, 166","25173, 23304, 23894, 23273, 23279",Step 1 Pass Fail
Mechanisms of Pharmacology (Cardiology),Fat Soluble Vitamins (integration),"981, 630, 1581, 671, 1048, 12047, 1062, 1581, 1048, 981, 1065, 671, 1806, 18686, 1926, 710","24093, 23742, 24692, 23783, 24159, 25805, 24173, 24692, 24159, 24093, 24176, 23783, 24915, 26750, 25035, 23822",Step 1 Pass Fail
Foundations of Physiology for the USMLE (Endocrine),Hormone Receptor Pathways,"994, 1121, 658, 14954",,Step 1 Pass Fail
Foundations of Physiology for the USMLE (Endocrine),Thyroid Synthesis and Regulation,"767, 686, 770","23798, 23879, 23882",Step 1 Pass Fail
Foundations of Physiology for the USMLE (Endocrine),Adrenal Cortex Zones,"610, 930, 955","23722, 24042, 24067",Step 1 Pass Fail
Foundations of Physiology for the USMLE (Endocrine),Calcium Homeostasis,"981, 1656, 11664","24093, 24767, 25605",Step 1 Pass Fail
Foundations of Physiology for the USMLE (Endocrine),Estrogen and Progesterone,"1317, 1560, 1986","24671, 25095",Step 1 Pass Fail
NBME Top Concepts: Endocrine,Hormone Signaling,"216, 1259, 1153, 1561","23329, 24264, 24370, 24672",Step 1 Pass Fail
NBME Top Concepts: Endocrine,Thyroid Disorders,"983, 773","23885, 24095",Step 1 Pass Fail
NBME Top Concepts: Endocrine,Hypothyroid,"1407, 590, 770, 1615, 983","23703, 23882, 24095, 24518, 24726",Step 1 Pass Fail
NBME Top Concepts: Endocrine,Hyperthyroid,"623, 925, 15016, 791, 637, 622, 768","23735, 24037, 26077, 23903, 23749, 23734, 23880",Step 1 Pass Fail
NBME Top Concepts: Endocrine,PTH and Calcium,"641, 992, 1065, 15270, 631","23743, 23753, 24104, 24176, 26201",Step 1 Pass Fail
NBME Top Concepts: Endocrine,MEN Syndromes,"986, 1844, 988, 1845, 15105","24098, 24100, 24953, 24954, 26106",Step 1 Pass Fail
NBME Top Concepts: Endocrine,Islet Cell Tumors,"1938, 8531, 585, 586","23698, 23699, 25047, 25413",Step 1 Pass Fail
NBME Top Concepts: Endocrine,DKA vs. HHS,"106, 107, 2014, 2073, 985","23220, 23221, 25123, 25182, 24097",Step 1 Pass Fail
NBME Top Concepts: Endocrine,Diabetes Pharmacology,"258, 656, 607, 599, 920, 11565, 606, 1655, 15308, 16324, 14136, 604, 15770, ","23371, 23768,, 107494, 23712, 24032, 25550, 23719, 24766, 26230, 26567, 25889, 23717, 26510",Step 1 Pass Fail
NBME Top Concepts: Endocrine,Aldosterone Disorders,"2013, 454, 547, 929, 152, 956","23265, 23567, 23660, 24041, 24068, 25122",Step 1 Pass Fail
Mechanisms of Pharmacology (Endocrine),GLUT Receptor Review,"1325, 1355, 847, 1121","24436, 24466, 23959, 24232",Step 1 Pass Fail
Mechanisms of Pharmacology (Endocrine),Diabetes Pharmacology,"258, 656, 607, 599, 920, 11565, 606, 1655, 15308, 16324, 14136, 604, 15770, ","23371, 23768, 107494, 23712, 24032, 25550, 23719, 24766, 26230, 26567, 25889,  23717, 26510, ",Step 1 Pass Fail
Mechanisms of Pharmacology (Endocrine),Insulin Preparations,"1768, 6803, 15308, 106, 107, 2014, 1889, 2073, 985, 600,  8330, 15876, 850,","24878, 25260, 26230, 23220, 23221, 25123, 24998, 25182, 24097, 23713, 25385, 26527, 23962",Step 1 Pass Fail
Mechanisms of Pharmacology (ANS),USMLE Step 1 Pharmacology of the Autonomic Nervous System,"11708, 11841, 1363, 663, 1523, ","25623, 25727, 24474, 23775, 24634",Step 1 Pass Fail
Foundations of USMLE Physiology (Renal),Organization of the Kidney,"1554, 1736, 1982","24665, 24847, 25091",Step 1 Pass Fail
Foundations of USMLE Physiology (Renal),Glomerular Physiology,"1017, 1841, 696","23808, 24950, 24128",Step 1 Pass Fail
Foundations of USMLE Physiology (Renal),GFR,"1555, 2010, 1617, 1618, 1354","24666, 25119, 24728, 24729, 24465",Step 1 Pass Fail
Foundations of USMLE Physiology (Renal),RPF,"1556, 1016, 1555","24127, 24666",Step 1 Pass Fail
Foundations of USMLE Physiology (Renal),RBF and Filtration Fraction,"1982, 1555, 1016","25091, 24666, 24127",Step 1 Pass Fail
Foundations of USMLE Physiology (Renal),Practical USMLE Qs,"1559, 1617, 2011","24728, 25120",Step 1 Pass Fail
Foundations of USMLE Physiology (Renal),Regional Aspects of Nephron,"2012, 2005, 15273","25121, 25114, 26203",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Acute Cystitis,"1096, 18521, 1816","24207, 24925 ",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Renal Physiology Integration,"1982, 1555, 1016","25091, 24666, 24127",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Enterococcus for USMLE,"643, 733","23755,  23845",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Acute Interstitial Nephritis,"888, 835, 15172","24000, 23947, 26580",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Sterile Pyruia for USMLE,"20178, 20315, 15869",,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Pathophysiology of UTI,"15869, 15560, 11516",,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,UTI Microbiology for USMLE,"1932, 15204, 22577, 1141, 1142","25041, 24252, 24253",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Medications for UTI in Pregnancy," 11752, 1959, 20604",25068,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Pregnancy Physiology Integration,"14895, 11551, 14873, 19518",,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Staghorn Calculus & Kidney Stones," 816, 15270, 12081, 815, 15193, 813","23928,  23925, 23927",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal (1),Cystitis vs Pyelonephritis,"888, 106085, 1142, 1140,","24000,  24251, 24253",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Micturition Autonomic Integration,"21589, 11820, 10962",25818,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Urinary Tract Histology Integration,"18523, 8541",25422,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Squamous Cell Carcinoma of Bladder,"18523, 336, 15186",23449,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Adenovirus for USMLE,1497,24608,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Renal,Prostatitis for USMLE,15538,,Step 1 Pass Fail
Top NBME Concepts: Renal,Renal Casts,"15218, 15217, 8458, 15225","26163, 26164, 25400, 26167",Step 1 Pass Fail
Top NBME Concepts: Renal,Kidney Stones,"816, 1656, 815, 2003, 6739, 15259","23927, 23928, 24767, 25112, 25255, 26197",Step 1 Pass Fail
Top NBME Concepts: Renal,Urea Cycle + Stones,"6739, 15259, 408, 12081, 817","25255, 26197, 23521, 25812, 23929",Step 1 Pass Fail
Top NBME Concepts: Renal,Nephrotic Syndrome,"26, 383, 384, 15355, 385","23140, 23496, 23497, 23498, 26261,",Step 1 Pass Fail
Top NBME Concepts: Renal,Nephritic Syndrome,"8, 27, 12, 567, 15353","23122, 23141, 23126, 23680, 26259",Step 1 Pass Fail
Top NBME Concepts: Renal,Renal Failure,"7624, 1016, 15221, 15207, 15209, 15208","25322, 24127, 26166, 26155, 26156, 26157",Step 1 Pass Fail
Top NBME Concepts: Renal,Diuretics,"684, 15172, 835, 956, 1425, 681","23796, 26130, 23947, 24068, 24536, 23793",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Renal,Rapid Review of Casts & Stones,"986, 12081, 817, 814, 815, 813, 861","24098, 25812, 23929, 23925, 23926, 23927, 23973",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Renal,Polycystic Kidneys,"1915, 1052, 3","25024, 24163, 23117",Step 1 Pass Fail
High Yield USMLE Images & PE Findings: Renal,Tumors of the Urinary Tract,"2, 904, 818, 7227, 11806, 336, 7623","23116, 24016, 23930, 25270, 25695, 23449, 25321",Step 1 Pass Fail
Mechanisms of Pharmacology (Renal),Renal Pharmacology,"682, 1363, 508,  12024, 1980, 6792, 684, 681, 685, 8884, 1557, 1881, 93, 200, 843, 1532, 1565, 1585, 2091, 2090, 1450, 167, 1168, 14967, 860, 861, 859, 858, 11749,   993, 683, 980, 11849, 150, 2002, 2003, 1537, 691, 1565, 2005, 656, 2095, 11657, 687, 152","23794, 24474, 23621, 25798, 25089, 25258, 23796, 23793, 23797, 25464, 24668, 24990, 23207, 23313, 23955, 24643, 24676, 24696, 25199, 25200 24561, 23280, 24279, 26049, 23972, 23973, 23971, 23970, 11749, 24105, 23795, 24092, 25735, 23263, 25112, 24648, 23803, 24676, 25114, 23768, 25598, 23799, 23265",Step 1 Pass Fail
Mechanisms of Pharmacology (Renal),Medications which cause HyperK (integration),"692, 8351, 11841, 153, 2006, 1196, 1444, 1252, 1492, 949, 1532, 149, 1565, 1944, 151, 141, 693, 1148, 948, 1166, 6901, 841, 712, 12262, 694, 696147, 156, 1780, 155, 148, 149, 900, 2091, 1168, 860, 861, 850, 858, 89, 15018, 1778, 77921086, 15172, 1049, 15229, 835, 1828, 714, 718, 1212, 855, 11458","23804, 25387, 25727, 23266, 25115, 24307, 24555, 24363, 24603, 24061, 24643, 23262, 24676, 25053, 23264, 23254, 24259, 24060, 24277, 23802, 24950, 23824, 23806, 23808, 23260, 23268, 24890, 23268, 23261, 23262, 24012, 25200, 24279, 23972, 23973, 23962, 23970, 23203, 26078, 24888, 25352, 24197, 26130, 24160, 26171, 23947, 24937, 23826, 23830, 24323, 23967",Step 1 Pass Fail
NBME Top Concepts: Acid Base,Compensation,"1357, 1979, 6792, 11939, 1340","24468, 25088, 25258, 25781, 24451",Step 1 Pass Fail
NBME Top Concepts: Acid Base,Winter’s Formula,"1979, 2072, 1341","25088, 25181, 24452",Step 1 Pass Fail
NBME Top Concepts: Acid Base,Davenport Diagram,"956, 1425, 11807, 528","24068, 24536, 25696, 23641",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Neonatal Infections," 999, 1140, 15578

","24111, 24251, 26418",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Neonatal Sepsis,"1140, 15578","23692 ,26418",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),TORCH infections,"1669, 1464, 1575, 11822, 1038, 1549, 12035","24149, 24686, 24660,25803, 24575, 25803",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),CMV,"1576, 1592, 1593","24703, 24704, 24687",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Pathophysiology of Failure To Thrive,"1071, 1074, 1020, 1500, 358, 203","25742, 23471, 24131, 24182, 24185, 24611",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),HPV,"1723, 483, 1015, 1992, 11858","25779, 24126, 24834, 25101, 25742",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Koliocytosis,"1992, 11858, 11929, 15228","25101, 25742, 25779, 25779",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Double Stranded DNA Viruses,1461,24572,Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),P53 Pathophysiology,"1970, 1660, , 1015,11929, 57, 420, 429","23171, 23533, 23542, 24126, 24771, 25079, 25779",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Sexually Transmitted Infections,"1827, 1096, 560","23673, 24207, 24936",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Cervicitis & Urethritis,"1008, 1912, 1895, 1026, 1949","24119, 24137, 25004, 25021, 25058",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Chlamydia Integration,"15560, 1154, 1600","24711, 24265, 24265",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Reactive Arthritis,1600,24711,Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Sexually Transmitted Ulcers,"11927, 15565, 1593, 1154, 15069, 11604","25041, 24704, 25569, 25569, 26410",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),PID Complications,"1932, 1027","24138, 25041",Step 1 Pass Fail
Integrated Microbiology for the USMLE (Reproductive),Syphilis Manifestations,"12035, 1002, 1952, 1154, 1315, 1316, 651","25803, 25803, 25061, 24265, 24426, 24427, 23763",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Disorders of Sexual Development,"579, 1809, 582","23692, 24918, 23695",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Turner’s Syndrome integration,"30, 256, 339, 7489","23144, 23369, 23452, 25293",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Testosterone Disorders,"955, 14818, 658","24067, 25956, 23770",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Mullerian Agenesis vs. AIS,"1831, 1809",4918,Step 1 Pass Fail
Top NBME Concepts: Reproductive,Polycystic Ovarian Syndrome,"258, 656, 2094, 2095","23371, 23768",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Ovarian Physiology,"208, 1902, 1839, 925","23321, 25011, 24037",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Ovarian Tumors,"1158, 11652, 127, 1158, 1837, 11652, 1928","24269, 23240, 24946, 25596",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Repro Ligaments,"1632, 8587, 11901","24743, 25434, 25764",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Uterine Disorders,"333, 2056, 2094, 581","23446, 25165, 23694",Step 1 Pass Fail
Top NBME Concepts: Reproductive,Cervical Disorders,"1992, 1753, 869","25101, 24863, 23981",Step 1 Pass Fail
Mechanisms of Pharmacology (Reproductive),Steroid Receptor Physiology,"807, 343, 217, 1449, 594, 258, 299, 1987, 334, 68, 215, 1899,  220, 1839, 877, 10930, 1773, 719, 454, 547, 610, 930","23919, 23456, 23330, 24560, 23707, 23371, 23412, 25096, 23182, 23328, 25008, 23333, 23989, 25510, 24883, 23831, 23567, 23660, 23722, 24042",Step 1 Pass Fail
Mechanisms of Pharmacology (Reproductive),"Tamoxifen, Raloxifene, Clomiphene","1762, 581, 11657, 1795, 1194, 11731, 2095","24872, 23694, 25598, 24904, 24305, 25629",Step 1 Pass Fail
Mechanisms of Pharmacology (Reproductive),Ovarian & Testicular Physiology [Integrated!],"584, 11585, 14818, 658, 8930, 1726, 657","23697, 25557, 25956, 23770, 25469, 24837, 23769",Step 1 Pass Fail
Mechanisms of Pharmacology (Reproductive),Testosterone Agents,"691, 1565, 11657, 687, 656, 2095, 8351, 1819, 104, 161, 2000, 351, 1766","23803, 24676, 25598, 23799, 23768, 25387, 24928, 23218, 23274, 25109, 23464, 24876",Step 1 Pass Fail
Foundations of USMLE Physiology (Gastrointestinal),Gastrointestinal Hormones,"1546, 601, 1319","24657, 23714, 24430",Step 1 Pass Fail
Foundations of USMLE Physiology (Gastrointestinal),Regulation of Acid Secretion,"126, 124, 1918","23239, 23237, 25027",Step 1 Pass Fail
Foundations of USMLE Physiology (Gastrointestinal),Digestion and Absorption,"99, 364, 601","23213, 23477, 23714",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Gastroenterology,Ulcers on the USMLE,"292, 291, 1603","23404, 23405, 24714",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Gastroenterology,Pathophysiology of H.Pylori,"1918, 1778, 161","25027, 24888, 23274",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Gastroenterology,Oncogenic Microbes,"2083, 1572, 1724, 1260, 15364, 1723","25192, 24683, 24835, 24371, 24834",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Gastroenterology,Diarrhea,"7642, 105601, 1138, 1422, 132, 960, 19407, 19356, 20189","25330, 24249, 24553, 23245, 24072,",Step 1 Pass Fail
Integrated Microbiology for the USMLE | Gastroenterology,Viral Diarrhea,"1498, 15215",24609,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Gastroenterology,Protozoal Diarrhea,"105676, 7642",25330,Step 1 Pass Fail
Integrated Microbiology for the USMLE | Gastroenterology,Guillain Barre Syndrome,"14883, 66",23180,Step 1 Pass Fail